#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         693    0.338399    0.324791 0.000535433
         694    0.331705    0.324801 0.000534754
         695    0.327519    0.324805 0.000533999
         696    0.350498    0.324842 0.000534507
         697    0.328291    0.324847 0.000533763
         698    0.319286    0.324839 0.000533057
         699    0.336166    0.324855 0.000532541
         700    0.325333    0.324856 0.000531781
         701    0.340532    0.324878 0.000531492
         702    0.347371     0.32491   0.0005317
         703    0.329555    0.324917 0.000530985
         704    0.332277    0.324927 0.000530333
         705    0.301582    0.324894 0.000530614
         706    0.315677    0.324881 0.000530023
         707    0.305683    0.324854 0.000529968
         708    0.316672    0.324842 0.000529346
         709    0.311825    0.324824 0.000528917
         710    0.307932      0.3248 0.000528707
         711    0.319153    0.324792 0.000528023
         712    0.333289    0.324804 0.000527417
         713    0.339431    0.324825 0.000527076
         714    0.339203    0.324845 0.000526722
         715    0.316449    0.324833 0.000526116
         716    0.303022    0.324802 0.000526262
         717    0.331284    0.324811 0.000525606
         718    0.359766     0.32486 0.000527124
         719    0.349618    0.324895 0.000527514
         720     0.32527    0.324895 0.000526782
         721    0.336999    0.324912 0.000526319
         722    0.338415    0.324931 0.000525922
